s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17
s1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1
s2,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
s3,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1
s4,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1
s5,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1
s6,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
s7,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
s8,0,1,0,0,1,1,1,0,1,0,1,1,1,0,0,0,1
s9,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0
s10,1,1,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0
s11,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0
s12,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0
s13,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
s14,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0
s15,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1
s16,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1
s17,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0
